,t,id,age,parent_ring,theta1,theta2
646,4,10,7,5,3.451327211324827,3.713126599123977
647,4,11,6,5,3.713126599123977,3.974925986923126
648,4,12,5,5,3.974925986923126,4.236725374722276
649,4,13,0,5,4.236725374722275,4.498524762521425
650,4,14,7,5,4.498524762521425,4.760324150320574
651,4,15,8,5,4.760324150320574,5.022123538119724
652,4,16,7,5,5.022123538119724,5.283922925918873
653,4,17,6,5,5.283922925918873,5.545722313718022
654,4,18,5,5,5.545722313718023,5.807521701517172
655,4,19,7,5,5.807521701517172,6.069321089316321
656,4,20,7,5,6.069321089316321,6.33112047711547
657,4,21,6,5,6.331120477115471,6.59291986491462
658,4,22,5,5,6.59291986491462,6.854719252713769
659,4,23,10,5,6.854719252713769,7.116518640512918
660,4,0,7,6,0.7142857142857142,0.938685189542128
661,4,1,8,6,0.938685189542128,1.1630846647985418
662,4,2,7,6,1.1630846647985418,1.3874841400549556
663,4,3,6,6,1.3874841400549556,1.6118836153113694
664,4,4,8,6,1.6118836153113694,1.8362830905677832
665,4,5,7,6,1.8362830905677832,2.060682565824197
666,4,6,5,6,2.060682565824197,2.285082041080611
667,4,7,7,6,2.285082041080611,2.5094815163370248
668,4,8,8,6,2.5094815163370248,2.7338809915934386
669,4,9,6,6,2.7338809915934386,2.9582804668498524
670,4,10,8,6,2.9582804668498524,3.182679942106266
671,4,11,8,6,3.182679942106266,3.40707941736268
672,4,12,5,6,3.40707941736268,3.6314788926190937
673,4,13,0,6,3.6314788926190937,3.8558783678755075
674,4,14,6,6,3.8558783678755075,4.080277843131921
675,4,15,6,6,4.080277843131921,4.304677318388335
676,4,16,7,6,4.304677318388335,4.529076793644749
677,4,17,10,6,4.529076793644749,4.753476268901163
678,4,18,9,6,4.753476268901163,4.9778757441575765
679,4,19,7,6,4.9778757441575765,5.20227521941399
680,4,20,7,6,5.20227521941399,5.426674694670404
681,4,21,9,6,5.426674694670404,5.651074169926818
682,4,22,6,6,5.651074169926818,5.875473645183232
683,4,23,6,6,5.875473645183232,6.0998731204396455
684,4,24,7,6,6.0998731204396455,6.324272595696059
685,4,25,6,6,6.324272595696059,6.548672070952473
686,4,26,7,6,6.548672070952473,6.773071546208887
687,4,27,6,6,6.773071546208887,6.997471021465301
688,4,0,6,7,0.625,0.8213495408493621
689,4,1,7,7,0.8213495408493621,1.0176990816987241
690,4,2,7,7,1.0176990816987241,1.2140486225480862
691,4,3,6,7,1.2140486225480862,1.4103981633974483
692,4,4,5,7,1.4103981633974483,1.6067477042468103
693,4,5,7,7,1.6067477042468103,1.8030972450961724
694,4,6,6,7,1.8030972450961724,1.9994467859455345
695,4,7,6,7,1.9994467859455345,2.1957963267948966
696,4,8,7,7,2.1957963267948966,2.392145867644259
697,4,9,7,7,2.392145867644259,2.5884954084936207
698,4,10,5,7,2.5884954084936207,2.7848449493429825
699,4,11,7,7,2.7848449493429825,2.981194490192345
700,4,12,8,7,2.981194490192345,3.177544031041707
701,4,13,6,7,3.177544031041707,3.3738935718910694
702,4,14,5,7,3.373893571891069,3.570243112740431
703,4,15,0,7,3.570243112740431,3.766592653589793
704,4,16,8,7,3.766592653589793,3.9629421944391554
705,4,17,7,7,3.9629421944391554,4.159291735288518
706,4,18,7,7,4.159291735288518,4.355641276137879
707,4,19,9,7,4.355641276137879,4.551990816987241
708,4,20,10,7,4.551990816987241,4.748340357836604
709,4,21,8,7,4.748340357836604,4.944689898685966
710,4,22,6,7,4.944689898685965,5.141039439535327
711,4,23,8,7,5.141039439535327,5.33738898038469
712,4,24,7,7,5.33738898038469,5.533738521234052
713,4,25,7,7,5.533738521234052,5.730088062083414
714,4,26,5,7,5.730088062083414,5.9264376029327765
715,4,27,7,7,5.926437602932776,6.122787143782138
716,4,28,7,7,6.122787143782138,6.3191366846315
717,4,29,6,7,6.3191366846315,6.5154862254808625
718,4,30,8,7,6.515486225480862,6.711835766330224
719,4,31,5,7,6.711835766330224,6.908185307179586
720,5,0,4,0,6.0,7.570796326794897
721,5,1,10,0,7.570796326794897,9.141592653589793
722,5,2,0,0,9.141592653589793,10.71238898038469
723,5,3,6,0,10.71238898038469,12.283185307179586
724,5,0,7,1,3.0,3.7853981633974483
725,5,1,5,1,3.7853981633974483,4.570796326794897
726,5,2,0,1,4.570796326794897,5.356194490192345
727,5,3,6,1,5.356194490192345,6.141592653589793
728,5,4,5,1,6.141592653589793,6.926990816987241
729,5,5,5,1,6.926990816987241,7.71238898038469
730,5,6,4,1,7.71238898038469,8.497787143782137
731,5,7,4,1,8.497787143782137,9.283185307179586
732,5,0,8,2,1.9999999999999998,2.5235987755982987
733,5,1,7,2,2.5235987755982987,3.0471975511965974
734,5,2,6,2,3.0471975511965974,3.5707963267948966
735,5,3,6,2,3.5707963267948966,4.094395102393195
736,5,4,5,2,4.094395102393195,4.617993877991494
737,5,5,5,2,4.617993877991494,5.141592653589792
738,5,6,10,2,5.141592653589793,5.665191429188091
739,5,7,5,2,5.665191429188091,6.1887902047863905
740,5,8,7,2,6.1887902047863905,6.71238898038469
741,5,9,5,2,6.71238898038469,7.235987755982989
742,5,10,5,2,7.235987755982988,7.759586531581287
743,5,11,7,2,7.759586531581287,8.283185307179586
744,5,0,10,3,1.5,1.8926990816987241
745,5,1,7,3,1.8926990816987241,2.2853981633974483
746,5,2,8,3,2.2853981633974483,2.6780972450961724
747,5,3,7,3,2.6780972450961724,3.0707963267948966
748,5,4,6,3,3.0707963267948966,3.4634954084936207
749,5,5,7,3,3.4634954084936207,3.856194490192345
750,5,6,4,3,3.856194490192345,4.2488935718910685
751,5,7,5,3,4.2488935718910685,4.641592653589793
752,5,8,5,3,4.641592653589793,5.034291735288518
753,5,9,4,3,5.034291735288518,5.426990816987241
754,5,10,5,3,5.426990816987241,5.819689898685965
755,5,11,6,3,5.819689898685965,6.21238898038469
756,5,12,5,3,6.21238898038469,6.605088062083414
757,5,13,4,3,6.605088062083414,6.997787143782139
758,5,14,5,3,6.997787143782138,7.390486225480862
759,5,15,6,3,7.390486225480862,7.783185307179586
760,5,0,8,4,1.2,1.5141592653589793
761,5,1,6,4,1.5141592653589793,1.8283185307179586
762,5,2,9,4,1.8283185307179586,2.142477796076938
763,5,3,7,4,2.142477796076938,2.4566370614359174
764,5,4,5,4,2.4566370614359174,2.7707963267948967
765,5,5,5,4,2.7707963267948967,3.084955592153876
766,5,6,7,4,3.084955592153876,3.3991148575128554
